Timestamp,AI1,AI2,AI3,AI4,AI5,AI6,AI7,AI8,AI9,AI10,AI11,AI12,AI13,AI14,AI15,AI16,AI17,AI18
2025-08-12 16:07:06,31.2,31.1,31.4,31.2,31.3,31.2,31.1,31.7,32.3,32.2,32.5,32.3,e,e,e,e,e,e
2025-08-12 16:07:17,31.3,31.2,31.6,31.3,31.4,31.3,31.0,31.8,32.4,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:07:28,31.3,31.2,31.5,31.1,31.4,31.3,31.2,31.8,32.3,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:07:39,31.3,31.2,31.5,31.2,31.3,31.4,31.1,31.8,32.3,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:07:50,31.4,31.2,31.5,31.1,31.4,31.4,30.9,31.8,32.3,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:08:01,31.4,31.2,31.5,31.2,31.4,31.4,31.2,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:08:12,31.3,31.2,31.4,31.1,31.4,31.4,31.3,31.8,32.3,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:08:22,31.3,31.2,31.5,31.3,31.4,31.4,31.3,31.8,32.3,32.3,32.7,32.3,e,e,e,e,e,e
2025-08-12 16:08:33,31.3,31.2,31.6,31.2,31.4,31.3,31.3,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:08:44,31.3,31.2,31.6,31.6,31.4,31.3,31.3,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:08:55,31.4,31.2,31.5,31.3,31.4,31.4,31.1,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:09:06,31.4,31.2,31.6,31.3,31.4,31.5,31.2,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:09:17,31.4,31.3,31.6,31.4,31.2,31.4,30.6,31.8,32.4,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:09:28,31.2,31.3,31.6,31.2,30.9,31.4,30.0,31.8,32.3,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:09:39,31.3,31.3,31.6,31.3,31.1,31.4,30.8,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:09:50,31.4,31.3,31.6,31.2,31.3,31.5,31.1,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:10:01,31.3,31.2,31.5,31.3,31.3,31.4,31.3,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:10:12,31.3,31.2,31.5,31.1,31.4,31.4,31.3,31.8,32.3,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:10:23,31.3,31.3,31.5,31.3,31.4,31.4,31.3,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:10:34,31.3,31.2,31.5,31.3,31.3,31.4,31.3,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:10:45,31.3,31.2,31.5,31.4,31.4,31.3,31.2,31.8,32.4,32.3,32.7,32.3,e,e,e,e,e,e
2025-08-12 16:10:56,31.3,31.2,31.5,31.2,31.4,31.3,31.2,31.8,32.4,32.3,32.7,32.3,e,e,e,e,e,e
2025-08-12 16:11:07,31.3,31.2,31.5,31.2,31.4,31.4,31.3,31.8,32.3,32.3,32.7,32.3,e,e,e,e,e,e
2025-08-12 16:11:18,31.3,31.2,31.5,31.4,31.4,31.4,31.4,31.8,32.4,32.3,32.7,32.3,e,e,e,e,e,e
2025-08-12 16:11:30,31.3,31.2,31.5,31.4,31.4,31.3,31.3,31.8,32.3,32.2,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:11:41,31.3,31.2,31.5,31.2,31.3,31.4,31.1,31.8,32.3,32.2,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:11:52,31.3,31.2,31.4,31.2,31.3,31.3,31.3,31.8,32.4,32.2,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:12:02,31.3,31.2,31.5,31.2,31.3,31.3,31.2,31.8,32.3,32.3,32.5,32.3,e,e,e,e,e,e
2025-08-12 16:12:13,31.3,31.2,31.5,31.3,31.3,31.3,31.3,31.8,32.4,32.3,32.6,32.3,e,e,e,e,e,e
2025-08-12 16:12:24,31.3,31.2,31.5,31.1,31.3,31.4,31.2,31.8,32.3,32.3,32.7,32.3,e,e,e,e,e,e
2025-08-12 16:12:35,31.3,31.2,31.5,31.3,31.4,31.3,31.3,31.8,32.4,32.3,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:12:46,31.3,31.2,31.5,31.3,31.4,31.4,31.4,31.8,32.5,32.4,32.8,32.4,e,e,e,e,e,e
2025-08-12 16:12:57,31.4,31.3,31.6,31.4,31.4,31.5,31.4,31.9,32.4,32.4,32.8,32.4,e,e,e,e,e,e
2025-08-12 16:13:08,31.4,31.3,31.6,31.5,31.5,31.5,31.4,31.9,32.4,32.4,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:13:19,31.5,31.3,31.6,31.5,31.5,31.5,31.4,31.9,32.5,32.4,32.7,32.4,e,e,e,e,e,e
2025-08-12 16:13:30,31.5,31.3,31.7,31.4,31.5,31.6,31.3,31.9,32.5,32.4,32.8,32.5,e,e,e,e,e,e
2025-08-12 16:13:41,31.5,31.3,31.7,31.3,31.5,31.5,31.5,31.9,32.6,32.5,32.8,32.5,e,e,e,e,e,e
2025-08-12 16:13:52,31.5,31.3,31.7,31.4,31.5,31.5,31.5,31.9,32.5,32.5,32.8,32.5,e,e,e,e,e,e
2025-08-12 16:14:03,31.5,31.3,31.7,31.5,31.5,31.5,31.5,31.9,32.5,32.5,32.8,32.5,e,e,e,e,e,e
2025-08-12 16:14:14,31.5,31.3,31.7,31.4,31.5,31.5,31.4,31.9,32.5,32.5,32.8,32.5,e,e,e,e,e,e
